Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Spain;42,0044;1,413611;1362854;4703045;Ebro basin;Clara;Dolmen;n/a;UBAR-838;2685;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;DC-04 AA;Funerary area;Telearchaeology.com;n/a;Telearchaeology.com;n/a;Yes;Outlier
Portugal;41,2039;-8,04752;579858;4561829;Duero basins;Cabritos 1;Dolmen;Simple polygonal chamber. Small dimensions;Gif-7019;2700;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Basement tumulus;Mound soil;Cruz 1995;n/a;Cruz 1995;n/a;No;n/a
Spain;42,95178832;-2,22810741;1052488;4777762;North;Etxegarate;Dolmen;n/a;GrA-24204;2715;45;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Bone;n/a;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a;No;n/a
Spain;36,8411;-2,2064;1106124;4098849;South;El Barranquete 11;Tholos;n/a;Beta-301932;3470;40;-18,4;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Human femur from an adult male (41-60 years old). Layer II;Chamber;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a;No;n/a
Spain;42,57457518;-2,6219053;1023531;4733330;Ebro basin;El Sotillo;Passage grave;n/a;Beta-299308;2740;30;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;n/a;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;No;n/a
Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;n/a;CNA-2275;3475;40;-21,29;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;Beta-440648;3480;30;-18,8;11;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Side-chamber;Funerary area;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;36,7633;-4,30389;919267;4078911;South;Cerro de la Corona;Passage grave;n/a;Beta-93020;3490;120;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Garcia Sanjuan 2006, 153;Recio Ruiz et al 1998;Garcia Sanjuan 2006, 153/Recio Ruiz et al 1998;n/a;No;n/a
Spain;42,6256;-8,9375;505125;4719241;North;Alto da Barreira;Tumulus;n/a;CSIC-1038;2840;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Yes;Aberrant
Spain;36,9844;-4,415;908159;4102978;South;Cortijo de El Tardon;Cist;n/a;UGRA-260;3530;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Garcia Sanjuan 2006, 153;Fernandez Ruiz et al 1997;Garcia Sanjuan 2006, 153/Fernandez Ruiz et al 1997;Geographic coordinates approximated;No;n/a
Spain;40,049527;3,88244;1600399;4513594;East;Cala Morell;Rock-cut-tomb, artificial cave & hypogeum;n/a;UtC-10074;2875;45;-19,57;9,33;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;39,8974;4,1126;1622652;4499565;East;Ses Roques Llises;Passage grave;n/a;KIA-21225;2890;25;-19,84;8,36;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;Yes;Non megalithic site
Spain;36,8411;-2,2064;1106124;4098849;South;El Barranquete 11;Tholos;n/a;Beta-301934;3530;30;-18,3;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Human right femur from an adult male (21-30 years old). Layer III;Chamber;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;Beta-440652;3540;30;-18,6;10,3;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Side-chamber;Funerary area;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Portugal;39,70853822;-7,983356294;587149;4395902;Tagus basins;Anta de Lajinha;Passage grave;n/a;ITNLUM-274;2900;300;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Regolith (quartz);Mound. Dated by OSL;Mound;Burbidge et al 2014;n/a;Burbidge et al 2014/Lozano Medina 2017;n/a;Yes;Outlier
Spain;36,96373691;-2,52260637;1076948;4110507;South;Los Millares 18;Tholos;n/a;CNA4457;3540;30;18,5;9,2;n/a;n/a;n/a;n/a;n/a;Human bone;Funerary chamber;Chamber;Molina González et al. 2020;n/a;Molina González et al. 2020;Geographic coordinates approximated;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39498;3543;36;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;n/a;UtC-7845;2935;40;n/a;n/a;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;Beta-436482;3550;30;-18,9;11,2;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 2;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
